epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,78.3199,0.99098,1.66838,1.2021,0.90836,0.93661,0.97311,0.7684,0.80808,0.89625,0.99857,0.00996283,0.00332094,0.00996283,0.00332094,0.00996283,0.00332094,0.00996283,0.00332094
2,121.78,0.97378,0.98097,1.15241,0.7762,0.79104,0.84124,0.60431,0.94097,1.13287,1.10368,0.0199579,0.00665265,0.0199579,0.00665265,0.0199579,0.00665265,0.0199579,0.00665265
3,164.002,1.09476,1.01423,1.21981,0.67487,0.73014,0.75964,0.50637,1.12968,1.53161,1.28748,0.0299336,0.00997785,0.0299336,0.00997785,0.0299336,0.00997785,0.0299336,0.00997785
4,204.399,1.12672,0.98952,1.24225,0.84127,0.60235,0.70491,0.52238,1.19452,1.42876,1.31326,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803
5,245.141,1.07214,0.89625,1.21194,0.85456,0.89232,0.9482,0.74737,0.85128,0.77456,1.06326,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097
6,286.611,1.01901,0.83047,1.18709,0.88783,0.90316,0.94774,0.71784,0.86817,0.63303,1.08533,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906
7,334.473,0.99093,0.78129,1.16664,0.94113,0.92962,0.97662,0.77447,0.83263,0.53043,1.01934,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232
8,383.032,0.96866,0.74503,1.1563,0.95985,0.95328,0.98273,0.79427,0.77353,0.54573,1.00016,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079
9,432.075,0.93474,0.70302,1.1319,0.95853,0.92998,0.98082,0.78872,0.78913,0.50593,0.99745,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449
10,481.047,0.92357,0.69042,1.13178,0.93907,0.94504,0.97044,0.78575,0.7666,0.52603,1.00742,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345
11,530.418,0.90441,0.66963,1.11537,0.95152,0.96912,0.98522,0.81018,0.74392,0.44845,0.96971,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773
12,580.557,0.88341,0.63977,1.10662,0.89031,0.88186,0.9388,0.75625,0.8035,0.60702,1.01864,0.0291221,0.00970736,0.0291221,0.00970736,0.0291221,0.00970736,0.0291221,0.00970736
13,623.664,0.87679,0.627,1.10555,0.96231,0.97818,0.99097,0.82539,0.69908,0.40457,0.94833,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239
14,666.569,0.87018,0.62825,1.10123,0.9681,0.97836,0.98984,0.82506,0.70723,0.43427,0.95565,0.0287787,0.00959289,0.0287787,0.00959289,0.0287787,0.00959289,0.0287787,0.00959289
15,708.923,0.85594,0.61672,1.09453,0.98231,0.98563,0.99218,0.83967,0.68352,0.37765,0.94795,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889
16,754.028,0.85958,0.60419,1.08755,0.98792,0.9854,0.99323,0.83183,0.70647,0.37537,0.94488,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048
17,798.776,0.83963,0.58899,1.08418,0.98844,0.98908,0.99251,0.83731,0.67473,0.36624,0.93697,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772
18,842.287,0.82813,0.58248,1.07815,0.99304,0.99184,0.99412,0.84573,0.65861,0.34869,0.92732,0.027932,0.00931067,0.027932,0.00931067,0.027932,0.00931067,0.027932,0.00931067
